Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"28.07.2025";"FINN.NO FAKTURA";"";"";"-149,00";"87654321987";"12345678901";""
"27.07.2025";"REMA 1000 TORSHOV";"";"";"-771,47";"33445566778";"12345678901";""
"25.07.2025";"NETFLIX";"";"";"-179,00";"22334455667";"12345678901";""
"23.07.2025";"Overforing til Sparekonto";"";"";"-4000,00";"11112222333";"12345678901";""
"21.07.2025";"AMEX AUTOGIRO";"";"";"-6355,90";"33334444555";"12345678901";""
"20.07.2025";"DNB MASTERCARD FAKTURA";"";"";"-6501,45";"22223333444";"12345678901";""
"18.07.2025";"MENY BOGSTADVEIEN";"";"";"-661,35";"23451298765";"12345678901";""
"16.07.2025";"Kafe Oslo";"";"";"-96,00";"44556677889";"12345678901";""
"14.07.2025";"Lonn KOMPLETT AS";"";"44625,00";"";"12345678901";"56712345678";""
"12.07.2025";"SPOTIFY";"";"";"-129,00";"11223344556";"12345678901";""
"10.07.2025";"COOP EXTRA GRONLAND";"";"";"-943,70";"78901234567";"12345678901";""
"07.07.2025";"RUTER MANEDSKORT";"";"";"-897,00";"34567891234";"12345678901";""
"05.07.2025";"KIWI MAJORSTUEN";"";"";"-731,40";"98765432109";"12345678901";""
"03.07.2025";"GET/TELIA";"";"";"-749,00";"34512389012";"12345678901";""
"01.07.2025";"HUSLEIE JULY";"";"";"-17800,00";"65432198765";"12345678901";""
