Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"28.09.2025";"FINN.NO FAKTURA";"";"";"-149,00";"87654321987";"12345678901";""
"27.09.2025";"REMA 1000 TORSHOV";"";"";"-782,80";"33445566778";"12345678901";""
"25.09.2025";"NETFLIX";"";"";"-179,00";"22334455667";"12345678901";""
"23.09.2025";"Overforing til Sparekonto";"";"";"-6500,00";"11112222333";"12345678901";""
"21.09.2025";"AMEX AUTOGIRO";"";"";"-5834,90";"33334444555";"12345678901";""
"20.09.2025";"DNB MASTERCARD FAKTURA";"";"";"-6513,45";"22223333444";"12345678901";""
"18.09.2025";"MENY BOGSTADVEIEN";"";"";"-695,35";"23451298765";"12345678901";""
"16.09.2025";"Kafe Oslo";"";"";"-96,00";"44556677889";"12345678901";""
"14.09.2025";"Lonn KOMPLETT AS";"";"43875,00";"";"12345678901";"56712345678";""
"12.09.2025";"SPOTIFY";"";"";"-129,00";"11223344556";"12345678901";""
"10.09.2025";"COOP EXTRA GRONLAND";"";"";"-960,70";"78901234567";"12345678901";""
"09.09.2025";"VINMONOPOLET OSLO S";"";"";"-689,00";"89123456789";"12345678901";""
"07.09.2025";"RUTER MANEDSKORT";"";"";"-897,00";"34567891234";"12345678901";""
"05.09.2025";"KIWI MAJORSTUEN";"";"";"-765,40";"98765432109";"12345678901";""
"03.09.2025";"GET/TELIA";"";"";"-749,00";"34512389012";"12345678901";""
"01.09.2025";"HUSLEIE SEPTEMBER";"";"";"-18400,00";"65432198765";"12345678901";""
