Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"29.06.2025";"STATOIL FURUSET";"";"";"-812,45";"23489156123";"12345678901";""
"28.06.2025";"FINN.NO FAKTURA";"";"";"-149,00";"87654321987";"12345678901";""
"27.06.2025";"REMA 1000 TORSHOV";"";"";"-765,80";"33445566778";"12345678901";""
"25.06.2025";"NETFLIX";"";"";"-179,00";"22334455667";"12345678901";""
"24.06.2025";"SKATTEETATEN";"";"3150,00";"";"12345678901";"99988877766";""
"23.06.2025";"Overforing til Sparekonto";"";"";"-6500,00";"11112222333";"12345678901";""
"21.06.2025";"AMEX AUTOGIRO";"";"";"-5822,90";"33334444555";"12345678901";""
"20.06.2025";"DNB MASTERCARD FAKTURA";"";"";"-6096,45";"22223333444";"12345678901";""
"18.06.2025";"MENY BOGSTADVEIEN";"";"";"-644,35";"23451298765";"12345678901";""
"16.06.2025";"Kafe Oslo";"";"";"-96,00";"44556677889";"12345678901";""
"14.06.2025";"Lonn KOMPLETT AS";"";"44250,00";"";"12345678901";"56712345678";""
"12.06.2025";"SPOTIFY";"";"";"-129,00";"11223344556";"12345678901";""
"10.06.2025";"COOP EXTRA GRONLAND";"";"";"-935,20";"78901234567";"12345678901";""
"07.06.2025";"RUTER MANEDSKORT";"";"";"-897,00";"34567891234";"12345678901";""
"05.06.2025";"KIWI MAJORSTUEN";"";"";"-714,40";"98765432109";"12345678901";""
"03.06.2025";"GET/TELIA";"";"";"-749,00";"34512389012";"12345678901";""
"01.06.2025";"HUSLEIE JUNE";"";"";"-17800,00";"65432198765";"12345678901";""
