Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"31.03.2025";"HUSLEIE APRIL";;;"-11300,00";"65432198765";"12345678901";
"30.03.2025";"Kiwi Torshov";;;"-298,00";"12345678904";"12345678901";
"28.03.2025";"SPOTIFY";;;"-129,00";"11223344556";"12345678901";
"27.03.2025";"kiwi grünerløkka";;;"-189,50";"12345678905";"12345678901";
"26.03.2025";"INTERSPORT CC VEST";;;"-1599,00";"78901098765";"12345678901";
"25.03.2025";"Lønn KOMPLETT AS";;"28750,34";;"12345678901";"56712345678";
"24.03.2025";"NILLE STORO";;;"-149,00";"89012098765";"12345678901";
"22.03.2025";"REMA 1000 GRÜNERLØKKA";;;"-534,20";"33445566778";"12345678901";
"21.03.2025";"NORMAL MAJORSTUEN";;;"-199,00";"90123098765";"12345678901";
"20.03.2025";"MENY TORSHOV";;;"-467,90";"23451298765";"12345678901";
"18.03.2025";"FLYING TIGER OSLO";;;"-89,00";"12340987654";"12345678901";
"17.03.2025";"Netflix Oslo";;;"-179,00";"23450987654";"12345678901";
"15.03.2025";"VITA KARL JOHAN";;;"-345,00";"34560987654";"12345678901";
"14.03.2025";"netflix.com";;;"-179,00";"45670987654";"12345678901";
"12.03.2025";"XXL SPORT CC VEST";;;"-899,00";"34567812390";"12345678901";
"10.03.2025";"KICKS OSLO CITY";;;"-567,00";"56780987654";"12345678901";
"08.03.2025";"ESSO HOVINBYEN";;;"-678,00";"67890987654";"12345678901";
"07.03.2025";"Overføring fra Jonas";;"1500,00";;"12345678901";"78901234567";
"05.03.2025";"CIRCLE K HELSFYR";;;"-589,00";"78900987654";"12345678901";
"03.03.2025";"COOP MEGA TORSHOV";;;"-756,40";"78901234567";"12345678901";
"01.03.2025";"BUNNPRIS TORSHOV";;;"-423,00";"89010987654";"12345678901";
