Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto;
"28.04.2025";"FINN.NO FAKTURA";"";"";"-149,00";"87654321987";"12345678901";""
"27.04.2025";"REMA 1000 TORSHOV";"";"";"-754,47";"33445566778";"12345678901";""
"26.04.2025";"POWER STORO";"";"";"-3290,00";"56712389012";"12345678901";""
"25.04.2025";"NETFLIX";"";"";"-179,00";"22334455667";"12345678901";""
"23.04.2025";"Overforing til Sparekonto";"";"";"-6500,00";"11112222333";"12345678901";""
"21.04.2025";"AMEX AUTOGIRO";"";"";"-5814,90";"33334444555";"12345678901";""
"20.04.2025";"DNB MASTERCARD FAKTURA";"";"";"-9773,45";"22223333444";"12345678901";""
"18.04.2025";"MENY BOGSTADVEIEN";"";"";"-610,35";"23451298765";"12345678901";""
"16.04.2025";"Kafe Oslo";"";"";"-96,00";"44556677889";"12345678901";""
"14.04.2025";"Lonn KOMPLETT AS";"";"43500,00";"";"12345678901";"56712345678";""
"12.04.2025";"SPOTIFY";"";"";"-129,00";"11223344556";"12345678901";""
"10.04.2025";"COOP EXTRA GRONLAND";"";"";"-918,20";"78901234567";"12345678901";""
"07.04.2025";"RUTER MANEDSKORT";"";"";"-897,00";"34567891234";"12345678901";""
"05.04.2025";"KIWI MAJORSTUEN";"";"";"-680,40";"98765432109";"12345678901";""
"03.04.2025";"GET/TELIA";"";"";"-749,00";"34512389012";"12345678901";""
"01.04.2025";"HUSLEIE APRIL";"";"";"-17800,00";"65432198765";"12345678901";""
